RecordDate,Month,Total daily production
19-Dec-23,Tahisas 9,59.14
20-Dec-23,Tahisas 10,59.53
21-Dec-23,Tahisas 11,59.61
22-Dec-23,Tahisas 12,57.32
23-Dec-23,Tahisas 13,58.47
24-Dec-23,Tahisas 14,53.11
25-Dec-23,Tahisas 15,59.00
26-Dec-23,Tahisas 16,57.99
27-Dec-23,Tahisas 17,59.87
28-Dec-23,Tahisas 18,61.15
29-Dec-23,Tahisas 19,55.22
30-Dec-23,Tahisas 20,56.89
31-Dec-23,Tahisas 21,51.93
1-Jan-24,Tahisas 22,57.78
2-Jan-24,Tahisas 23,58.14
3-Jan-24,Tahisas 24,59.29
4-Jan-24,Tahisas 25,60.58
5-Jan-24,Tahisas 26,58.19
6-Jan-24,Tahisas 27,60.35
